ETF,Ticker,SentimentScore
XLE,PSX,20
XLE,KMI,20
XLE,EOG,20
XLF,MTB,11
XLK,NVDA,10
XLU,D,10
XLV,ABBV,10
XLV,MRNA,10
XLU,EXC,10
XLU,XEL,10
XLP,CPB,10
XLB,CE,10
XLK,ADP,10
XLV,GILD,10
XLC,VZ,10
XLU,EIX,10
XLU,CMS,10
XLE,HES,10
XLY,YUM,10
XLY,CMG,10
XLP,CL,10
XLY,ULTA,10
XLY,GM,10
XLY,DG,10
XLP,KR,10
XLY,DRI,10
XLY,TJX,10
XLY,SBUX,10
XLY,LOW,10
XLY,NKE,10
XLP,CHD,10
XLK,PTC,10
XLY,AMZN,10
XLV,BIIB,10
XLV,LH,10
XLK,MCHP,10
XLY,BBWI,10
XLK,ADI,10
XLK,CDNS,10
XLF,MET,10
XLI,DAL,10
XLC,NWSA,10
XLC,OMC,10
XLI,LDOS,10
XLI,UAL,10
XLI,OTIS,10
XLF,RJF,10
XLF,NDAQ,10
XLF,FITB,10
XLI,NLSN,10
XLI,HII,10
XLY,PVH,10
XLF,FRC,10
XLB,NEM,10
XLF,SBNY,10
XLI,CTAS,10
XLF,LNC,10
XLV,TFX,10
XLB,PPG,10
XLB,IFF,10
XLI,NOC,10
XLF,IVZ,10
XLI,LMT,10
XLC,TTWO,10
XLF,ZION,10
XLF,USB,10
XLF,GL,10
XLU,ED,0
XLK,FTNT,0
XLY,VFC,0
XLY,NCLH,0
XLY,KMX,0
XLK,TEL,0
XLY,TSCO,0
XLU,NEE,0
XLK,AMAT,0
XLK,Other,0
XLY,SSIXX,0
XLK,SSIXX,0
XLY,HAS,0
XLU,SSIXX,0
XLC,WBD,0
XLI,ITW,0
XLF,BRO,0
XLI,DOV,0
XLV,AMGN,0
XLI,FTV,0
XLB,DD,0
XLV,REGN,0
XLF,TROW,0
XLF,AFL,0
XLY,AZO,0
XLF,COF,0
XLB,LYB,0
XLC,SSIXX,0
XLF,JPM,0
XLF,BRK.B,0
XLE,Other,0
XLE,SSIXX,0
XLI,NSC,0
XLV,MTD,0
XLB,EMN,0
XLV,COO,0
XLB,SSIXX,0
XLV,SSIXX,0
XLI,BA,0
XLV,JNJ,0
XLP,SSIXX,0
XLI,RHI,0
XLY,ORLY,0
XLC,TMUS,0
XLI,Other,0
XLP,MNST,0
XLRE,Other,0
XLRE,SSIXX,0
XLRE,KIM,0
XLRE,ARE,0
XLC,IPG,0
XLF,MKTX,0
XLI,SSIXX,0
XLP,CLX,0
XLP,CAG,0
XLRE,O,0
XLP,SJM,0
XLF,Other,0
XLF,BEN,0
XLP,HRL,0
XLF,SSIXX,0
XLE,COP,0
XLI,LUV,-10
XLC,NFLX,-10
XLK,SEDG,-10
XLI,IR,-10
XLK,MSI,-10
XLV,HSIC,-10
XLV,UNH,-10
XLU,AES,-10
XLP,EL,-10
XLU,EVRG,-10
XLP,HSY,-10
XLP,KDP,-10
XLP,K,-10
XLP,TAP,-10
XLU,SRE,-10
XLV,VTRS,-10
XLV,ELV,-10
XLV,VRTX,-10
XLV,ISRG,-10
XLK,QRVO,-10
XLV,ILMN,-10
XLK,CTXS,-10
XLV,ABC,-10
XLV,HUM,-10
XLF,C,-10
XLF,BLK,-10
XLY,F,-10
XLE,BKR,-10
XLF,L,-10
XLE,HAL,-10
XLE,FANG,-10
XLE,XOM,-10
XLB,FMC,-10
XLK,AAPL,-10
XLC,NWS,-10
XLY,MCD,-10
XLY,HD,-10
XLY,PENN,-10
XLK,NXPI,-10
XLC,LYV,-10
XLY,ETSY,-20
XLE,DVN,-20
XLF,CFG,-20
XLY,LVS,-20
XLC,MTCH,-20
XLF,SPGI,-20
XLV,CI,-20
XLY,CZR,-20
XLF,CINF,-20
XLY,LKQ,-20
XLV,LLY,-20
XLV,HOLX,-20
XLY,NWL,-20
XLE,VLO,-20
XLK,ON,-20
XLU,AEE,-20
XLV,CRL,-20
XLU,PNW,-20
XLE,CVX,-20
XLC,PARA,-20
XLB,NUE,-20
XLI,SPGI,-20
XLP,WMT,-20
XLC,DISH,-20
XLF,CMA,-30
XLP,GIS,-30
XLP,PEP,-30
XLY,NVR,-30
XLP,ADM,-30
XLY,TSLA,-30
XLY,EXPE,-30
XLP,TSN,-30
XLY,DHI,-30
XLE,MPC,-30
XLI,AOS,-30
XLB,ALB,-30
XLK,NLOK,-30
XLI,SWK,-30
XLY,WYNN,-30
XLRE,CCI,-40
XLV,ZBH,-40
XLI,SNA,-40
XLV,CVS,-40
XLB,DOW,-40
XLP,SYY,-40
XLV,BDX,-50
XLB,APD,-50
XLY,MHK,-50
XLI,JBHT,-60
XLI,MAS,-60
XLC,TWTR,-60
XLE,PXD,-60
XLV,OGN,-60
XLF,SIVB,-80
XLC,ATVI,-80
XLRE,DRE,-100
