ETF,Ticker,SentimentScore
XLI,ROK,40
XLI,ODFL,30
XLI,LUV,-10
XLI,GWW,40
XLI,FTV,0
XLI,DAL,10
XLI,PWR,50
XLI,URI,30
XLI,DOV,0
XLI,IR,-10
XLI,SWK,-30
XLI,J,30
XLI,EXPD,50
XLI,WAB,40
XLI,JBHT,-60
XLI,IEX,40
XLI,XYL,20
XLI,LDOS,10
XLI,GNRC,20
XLI,TXT,50
XLI,MAS,-60
XLI,HWM,30
XLI,UAL,10
XLI,CHRW,20
XLI,NDSN,50
XLI,SNA,-40
XLI,AAL,20
XLI,RHI,0
XLI,NLSN,10
XLI,ALLE,60
XLI,FBHS,30
XLI,HII,10
XLI,ROL,50
XLI,PNR,60
XLI,AOS,-30
XLI,ALK,40
XLI,SSIXX,0
XLI,Other,0
XLI,SPGI,-20
XLC,META,30
XLC,GOOGL,20
XLC,GOOG,30
XLC,TMUS,0
XLC,ATVI,-80
XLC,VZ,10
XLC,CHTR,30
XLC,T,20
XLC,NFLX,-10
XLC,CMCSA,30
XLC,DIS,40
XLC,EA,60
XLC,WBD,0
XLC,TWTR,-60
XLC,TTWO,10
XLC,MTCH,-20
XLC,PARA,-20
XLC,OMC,10
XLC,LYV,-10
XLC,IPG,0
XLC,FOXA,50
XLC,LUMN,40
XLC,NWSA,10
XLC,FOX,20
XLC,DISH,-20
XLC,NWS,-10
XLC,SSIXX,0
XLB,LIN,70
XLB,SHW,50
XLB,APD,-50
XLB,NEM,10
XLB,ECL,20
XLB,CTVA,20
XLB,FCX,50
XLB,DOW,-40
XLB,NUE,-20
XLB,IFF,10
XLB,DD,0
XLB,PPG,10
XLB,ALB,-30
XLB,LYB,0
XLB,BALL,20
XLB,VMC,60
XLB,MLM,30
XLB,AMCR,20
XLB,CF,30
XLB,MOS,30
XLB,IP,20
XLB,AVY,20
XLB,PKG,30
XLB,FMC,-10
XLB,CE,10
XLB,EMN,0
XLB,WRK,70
XLB,SEE,30
XLB,SSIXX,0
XLE,XOM,-10
XLE,CVX,-20
XLE,OXY,20
XLE,COP,0
XLE,EOG,20
XLE,PXD,-60
XLE,SLB,50
XLE,MPC,-30
XLE,VLO,-20
XLE,WMB,30
XLE,PSX,20
XLE,KMI,20
XLE,DVN,-20
XLE,HES,10
XLE,BKR,-10
XLE,HAL,-10
XLE,OKE,20
XLE,CTRA,30
XLE,FANG,-10
XLE,MRO,60
XLE,APA,30
XLE,SSIXX,0
XLE,Other,0
XLF,BRK.B,0
XLF,JPM,0
XLF,BAC,20
XLF,WFC,20
XLF,SPGI,-20
XLF,MS,40
XLF,GS,20
XLF,SCHW,20
XLF,C,-10
XLF,BLK,-10
XLF,AXP,20
XLF,CB,40
XLF,MMC,40
XLF,CME,20
XLF,PGR,20
XLF,PNC,30
XLF,TFC,30
XLF,USB,10
XLF,AON,20
XLF,ICE,50
XLF,MCO,50
XLF,COF,0
XLF,MET,10
XLF,AIG,30
XLF,TRV,30
XLF,AJG,30
XLF,PRU,20
XLF,ALL,40
XLF,MSCI,50
XLF,AFL,0
XLF,BK,20
XLF,DFS,40
XLF,FRC,10
XLF,MTB,11
XLF,TROW,0
XLF,AMP,50
XLF,SIVB,-80
XLF,STT,30
XLF,FITB,10
XLF,WTW,30
XLF,HIG,50
XLF,NTRS,30
XLF,NDAQ,10
XLF,CFG,-20
XLF,RJF,10
XLF,RF,40
XLF,HBAN,40
XLF,CINF,-20
XLF,KEY,50
XLF,FDS,50
XLF,SYF,60
XLF,PFG,40
XLF,BRO,0
XLF,WRB,30
XLF,CBOE,30
XLF,SBNY,10
XLF,L,-10
XLF,RE,30
XLF,MKTX,0
XLF,CMA,-30
XLF,AIZ,70
XLF,GL,10
XLF,SSIXX,0
XLF,ZION,10
XLF,LNC,10
XLF,BEN,0
XLF,IVZ,10
XLF,Other,0
XLRE,AMT,30
XLRE,PLD,20
XLRE,CCI,-40
XLRE,EQIX,20
XLRE,PSA,50
XLRE,O,0
XLRE,WELL,50
XLRE,DLR,50
XLRE,SBAC,20
XLRE,SPG,30
XLRE,VICI,20
XLRE,AVB,40
XLRE,WY,40
XLRE,CBRE,40
XLRE,EQR,40
XLRE,EXR,60
XLRE,DRE,-100
XLRE,ARE,0
XLRE,VTR,50
XLRE,MAA,50
XLRE,ESS,30
XLRE,PEAK,60
XLRE,CPT,30
XLRE,UDR,30
XLRE,IRM,40
XLRE,BXP,20
XLRE,KIM,0
XLRE,HST,20
XLRE,REG,20
XLRE,FRT,30
XLRE,VNO,30
XLRE,SSIXX,0
XLRE,Other,0
XLY,AMZN,10
XLY,TSLA,-30
XLY,HD,-10
XLY,MCD,-10
XLY,NKE,10
XLY,LOW,10
XLY,SBUX,10
XLY,TJX,10
XLY,BKNG,40
XLY,TGT,20
XLY,DG,10
XLY,GM,10
XLY,F,-10
XLY,ORLY,0
XLY,AZO,0
XLY,MAR,30
XLY,DLTR,50
XLY,CMG,10
XLY,YUM,10
XLY,HLT,40
XLY,ROST,30
XLY,APTV,40
XLY,EBAY,30
XLY,DHI,-30
XLY,TSCO,0
XLY,LEN,40
XLY,ULTA,10
XLY,GPC,40
XLY,GRMN,70
XLY,VFC,0
XLY,DRI,10
XLY,POOL,40
XLY,DPZ,50
XLY,KMX,0
XLY,BBY,40
XLY,EXPE,-30
XLY,NVR,-30
XLY,LKQ,-20
XLY,LVS,-20
XLY,AAP,40
XLY,PHM,40
XLY,HAS,0
XLY,MGM,70
XLY,ETSY,-20
XLY,WHR,40
XLY,TPR,50
XLY,BWA,50
XLY,CZR,-20
XLY,NWL,-20
XLY,CCL,40
XLY,RCL,30
XLY,MHK,-50
XLY,BBWI,10
XLY,WYNN,-30
XLY,PENN,-10
XLY,NCLH,0
XLY,RL,20
XLY,SSIXX,0
XLY,PVH,10
XLK,AAPL,-10
XLK,MSFT,60
XLK,NVDA,10
XLK,V,40
XLK,MA,40
XLK,AVGO,20
XLK,CSCO,20
XLK,ACN,70
XLK,ADBE,40
XLK,CRM,20
XLK,INTC,30
XLK,QCOM,50
XLK,TXN,20
XLK,IBM,20
XLK,AMD,70
XLK,INTU,40
XLK,ORCL,50
XLK,NOW,60
XLK,ADP,10
XLK,PYPL,40
XLK,AMAT,0
XLK,ADI,10
XLK,MU,50
XLK,LRCX,20
XLK,FIS,50
XLK,FISV,40
XLK,KLAC,40
XLK,SNPS,70
XLK,ROP,60
XLK,CDNS,10
XLK,NXPI,-10
XLK,ADSK,50
XLK,APH,50
XLK,FTNT,0
XLK,PAYX,20
XLK,TEL,0
XLK,MSI,-10
XLK,HPQ,30
XLK,CTSH,30
XLK,GPN,30
XLK,MCHP,10
XLK,KEYS,40
XLK,ENPH,40
XLK,GLW,50
XLK,ON,-20
XLK,CDW,50
XLK,ANET,50
XLK,ANSS,20
XLK,IT,50
XLK,HPE,20
XLK,TDY,40
XLK,BR,60
XLK,EPAM,60
XLK,MPWR,50
XLK,FLT,40
XLK,ZBRA,50
XLK,VRSN,22
XLK,SEDG,-10
XLK,SWKS,20
XLK,TER,40
XLK,NTAP,40
XLK,AKAM,50
XLK,TRMB,20
XLK,SSIXX,0
XLK,STX,30
XLK,TYL,20
XLK,PAYC,60
XLK,WDC,60
XLK,NLOK,-30
XLK,JKHY,70
XLK,CTXS,-10
XLK,PTC,10
XLK,QRVO,-10
XLK,FFIV,30
XLK,JNPR,80
XLK,DXC,40
XLK,CDAY,30
XLK,Other,0
XLU,NEE,0
XLU,DUK,20
XLU,SO,30
XLU,D,10
XLU,AEP,50
XLU,SRE,-10
XLU,EXC,10
XLU,XEL,10
XLU,ED,0
XLU,WEC,20
XLU,PEG,20
XLU,ES,50
XLU,AWK,40
XLU,DTE,20
XLU,EIX,10
XLU,AEE,-20
XLU,ETR,60
XLU,FE,40
XLU,PPL,30
XLU,CMS,10
XLU,CEG,50
XLU,CNP,30
XLU,ATO,40
XLU,EVRG,-10
XLU,LNT,20
XLU,AES,-10
XLU,NI,30
XLU,NRG,20
XLU,PNW,-20
XLU,SSIXX,0
