,Beta,Dividend Yield,Forward P/E,Trailing P/E,Market Cap,Trailing EPS,Forward EPS,PEG Ratio,Price To Book,E/V to EBITDA,Free Cash Flow,Deb To Equity,Earnings Growth,Ebitda margins,Quick Ratio,Target Mean Price,Return on Equity,Revenue Growth,Current Ratio,Current Price
EFX,1.484035,0.0075,24.806818,38.609837,26633037824.0,5.654,8.8,2.55,7.5249915,18.295,161775008.0,148.788,-0.063,0.32914,0.424,224.58,0.20599002,0.066,0.514,218.3
ROK,1.386973,0.0175,21.235937,21.841105,29342007296.0,11.58,11.91,2.66,12.27767,24.605,415837504.0,165.043,0.099,0.18408,0.668,239.2,0.2499,0.065,1.064,252.92
ETR,0.593018,0.035099998,18.735016,19.223175,23872522240.0,6.179,6.34,2.98,2.1214502,12.688,-3535283456.0,238.063,-0.181,0.34506,0.357,124.71,0.09114,0.012,0.716,118.78
CDW,1.099616,0.011,19.287598,24.692244,23847890944.0,7.116,9.11,1.35,28.59398,17.954,606337472.0,823.446,0.123,0.07998,1.019,218.79,0.97528,0.23,1.257,175.71
CBRE,1.360578,,15.132978,19.895105,28563740672.0,4.29,5.64,1.24,3.5153837,13.491,1182011648.0,47.103,0.487,0.07867,0.915,101.83,0.23251,0.235,1.198,85.35
WST,1.133248,0.0021,37.320442,41.888878,25020418048.0,8.063,9.05,3.51,11.364018,27.441,268312496.0,13.715,0.004,0.31175,2.207,379.6,0.30765,0.066,3.134,337.75
CHD,0.390804,0.0119,27.286602,26.72056,21897498624.0,3.278,3.21,4.19,6.107663,20.258,653100032.0,83.913,-0.126,0.22075,0.605,98.2,0.22506,0.042,1.014,87.59
ODFL,0.994465,0.004,30.650146,38.99963,36273319936.0,8.087,10.29,1.13,10.606692,17.554,,2.811,0.429,0.32416,0.669,288.83,0.35678002,0.264,1.925,315.39
ANET,1.281396,,36.636627,51.169304,38729019392.0,2.463,3.44,1.51,10.027848,31.118,675065280.0,1.384,0.491,0.33165002,2.975,144.5,0.24531001,0.314,3.729,126.03
BALL,0.551298,0.0109,,,,,,1.91,,14.781,-359624992.0,227.546,1.283,0.15081,0.55,83.94,0.29955998,0.189,0.972,57.78
EBAY,1.182205,0.0183,10.745575,2.6568568,30405013504.0,18.281,4.52,1.42,2.8089757,9.384,2714874880.0,127.02,,0.31778,1.262,56.24,-0.3058,-0.059,1.475,48.57
CTRA,-0.044699,0.0196,8.215687,33.367462,23862241280.0,0.879,3.57,0.55,5.039519,8.129,1998823936.0,29.266,1.387,0.63105,1.532,37.33,0.23305,3.243,1.565,29.33
EXR,0.481481,0.0317,37.244164,38.530834,27775895552.0,5.384,5.57,5.08,9.278973,27.448,599207232.0,161.357,-0.012,0.6935,0.625,198.0,0.24468,0.237,2.388,207.45
ANSS,1.265219,,35.282116,52.677704,24443056128.0,5.318,7.94,2.83,5.630389,37.175,476885504.0,20.398,-0.012,0.3348,2.174,312.0,0.10694,0.17,2.285,280.14
CF,1.057471,0.0168,10.036275,74.18116,21955807232.0,1.38,10.2,1.37,7.4635468,5.242,2771375104.0,54.82,5.014,0.54223,1.479,107.32,0.34388,1.737,1.717,102.37
CMS,0.277139,0.026800001,23.930315,22.764336,19896389632.0,3.017,2.87,2.81,3.3917723,14.249,-1624499968.0,166.377,-0.179,0.28862,0.452,71.05,0.10840999,0.232,1.002,68.68
DAL,1.193699,,11.670102,,21734875136.0,-0.112,2.91,-0.49,8.311307,12.572,-1238749952.0,883.521,0.127,0.08221,0.527,48.03,0.23566,0.94,0.658,33.96
GWW,1.178799,0.0127,24.244862,32.372677,29178865664.0,17.495,23.36,1.18,15.970898,14.15,468000000.0,109.493,0.684,0.1509,1.349,539.8,0.60356,0.196,2.579,566.36
RF,1.299276,0.0378,10.937198,8.482577,21582325760.0,2.669,2.07,-14.16,1.2753491,,,,-0.234,0.0,,24.19,0.12774,-0.12,,22.64
LEN,1.466155,0.0176,5.1441975,6.149965,26590842880.0,14.27,17.06,0.2,1.2699884,4.437,539038976.0,28.192,0.695,0.22377001,1.045,91.65,0.21375999,0.3,10.407,87.76
CNP,0.876117,0.0227,22.631207,20.286077,20067112960.0,1.573,1.41,-57.47,2.485009,13.437,-2337750016.0,139.695,0.464,0.29318002,0.491,32.63,0.09846,0.085,0.909,31.91
CTLT,1.32567,,26.176191,34.604973,18820409344.0,3.177,4.2,1.92,4.676308,20.566,-261775008.0,90.674,-0.381,0.24389,2.045,137.23,0.117869996,0.209,2.892,109.94
ULTA,1.506172,,21.789387,24.997116,21108502528.0,15.603,17.9,2.35,10.634186,12.662,793393152.0,105.681,0.537,0.1865,0.53,457.7,0.60548,0.21,1.583,390.03
FANG,2.193699,0.0219,7.769456,51.84693,24056418304.0,2.561,17.09,0.29,2.0905297,5.71,958625024.0,42.218,2.278,0.67999,0.656,180.03,0.22396,1.036,0.72,132.78
AMCR,0.831908,0.0368,15.035715,20.80725,19363938304.0,0.607,0.84,2.74,4.1532393,12.148,812750016.0,169.587,0.033,0.15288,0.716,12.52,0.20728001,0.156,1.395,12.63
MTCH,1.235441,,25.686047,35.17516,18760040448.0,1.884,2.58,1.8,,25.052,1184474496.0,,0.046,0.30833,1.026,108.1,,0.196,1.149,66.27
K,0.432524,0.031400003,18.122597,20.553434,25717264384.0,3.668,4.16,8.93,7.381768,13.027,1080499968.0,186.496,0.15,0.17843,0.343,71.89,0.38943002,0.025,0.653,75.39
MAA,0.71392,0.0269,55.833336,49.436543,21214177280.0,3.727,3.3,6.62,3.5973682,24.24,690991616.0,73.731,-0.033,0.57079,0.091,198.39,0.09897,0.133,0.368,184.25
VMC,0.753086,0.0097,27.918919,36.20825,23304325120.0,4.85,6.29,1.42,3.6265075,18.259,455067008.0,71.972,-0.429,0.24199,1.166,205.1,0.09516,0.442,1.862,175.61
TTWO,0.73478,,18.010448,24.95244,13913250816.0,4.836,6.7,2.18,3.798596,17.01,634618368.0,6.568,-0.497,0.20662001,1.538,170.58,0.11707,0.108,1.839,120.67
FTV,1.160068,0.0043,21.844156,14.677137,24125126656.0,4.584,3.08,1.99,2.5892859,18.827,962350016.0,38.966,0.004,0.24964,0.622,71.71,0.07059,0.109,0.936,67.28
PKI,1.128565,0.0018000001,24.687119,16.059065,20313153536.0,10.023,6.52,0.46,2.919168,13.668,1111270400.0,70.242,-0.585,0.3455,1.276,171.25,0.13245,-0.037,1.943,160.96
PPL,0.767134,0.0309,18.279503,,22093572096.0,-1.724,1.61,1.13,1.5347309,11.085,6556375040.0,88.013,,0.43646,1.713,30.64,0.0069199996,0.19,1.884,29.43
GPC,0.965942,0.0234,21.571625,27.921198,22304708608.0,5.609,7.26,4.1,7.0109234,13.454,482175744.0,112.74,0.926,0.091409996,0.378,145.63,0.31976,0.171,1.169,156.61
STE,0.699872,0.0083,25.824324,76.44,21025835008.0,2.75,8.14,2.52,3.213483,21.55,310139136.0,50.115,-0.497,0.25834998,1.244,259.83,0.04654,0.386,2.037,210.21
IT,1.476372,,42.01823,37.33209,24637982720.0,8.025,7.13,3.46,74.28465,20.884,1109792000.0,2747.542,0.13,0.23656,0.553,300.75,1.58847,0.144,0.697,299.59
VTR,1.171136,0.0335,2577.5,97.44801,20577521664.0,0.529,0.02,-135.33,1.8577245,21.919,962916096.0,113.533,,0.39983,0.306,61.15,0.01424,0.113,0.399,51.55
CEG,,0.0085,,,,,,,,5.679,2552375040.0,50.578,,0.23438999,0.716,68.27,0.0639,0.006,1.363,78.83
MLM,0.823329,0.0069,24.737627,31.320173,22761908224.0,11.65,14.75,1.66,3.582277,17.502,460087488.0,80.551,0.624,0.27485,2.376,405.92,0.122250006,0.176,3.625,364.88
CFG,1.417198,0.0442,9.699508,7.907631,16783756288.0,4.98,4.06,4.2,0.7839625,,,,-0.535,0.0,,46.61,0.0776,0.058,,39.38
WAT,0.798637,,28.127226,29.715054,20240857088.0,11.16,11.79,2.53,68.71529,23.095,393781376.0,408.595,0.105,0.3466,1.614,346.69,2.32562,0.135,2.305,331.62
NTRS,1.155385,0.0301,13.538867,16.208202,21339244544.0,6.34,7.59,1.2,1.9374789,,,,0.081,0.0,,113.73,0.1387,0.098,,102.76
EVRG,0.485738,0.0335,19.643059,18.07612,16010535936.0,3.836,3.53,3.7,1.7063686,12.317,-634837504.0,125.192,-0.369,0.42488998,0.066,71.78,0.09127,-0.241,0.508,69.34
HOLX,1.088974,,18.62274,9.995839,18119911424.0,7.21,3.87,7.24,4.3334737,7.745,1605299968.0,56.914,-0.135,0.45138,3.094,77.2,0.34075,-0.142,3.905,72.07
IR,1.469561,0.0017,22.450218,52.54306,21137358848.0,0.987,2.31,2.62,2.4421945,19.619,1066374976.0,38.075,,0.20681,2.113,51.93,0.05962,0.184,2.88,51.86
CLX,0.178373,0.033299997,21.68066,41.71041,17767219200.0,3.467,6.67,-5.5,48.28381,23.839,373249984.0,563.021,,0.12141,0.365,135.27,0.61691004,0.016,0.707,144.61
SEDG,1.058322,,46.101154,119.662415,16754769920.0,2.666,6.92,1.69,13.489218,76.585,-288919264.0,36.742,0.094,0.11517,3.232,347.96,0.11073,0.616,4.329,319.02
ALGN,1.768412,,21.414307,30.974348,22660804608.0,9.278,13.42,0.72,6.443498,21.553,173021248.0,2.732,-0.427,0.24683,1.015,375.64,0.17728001,-0.041,1.317,287.38
CAG,0.605363,0.038599998,13.045453,13.881499,16520522752.0,2.481,2.64,4.04,1.9306014,12.723,405849984.0,104.042,-0.485,0.17466,0.27,35.87,0.10155,0.062,0.862,34.44
SWKS,1.163899,0.020599999,8.566434,12.29097,18233917440.0,8.97,12.87,0.82,3.4404745,9.228,608875008.0,46.359,-0.046,0.39359,2.258,141.71,0.27668,0.14,3.984,110.25
PFG,1.431673,0.0382,11.07,12.4581995,20540194816.0,6.22,7.0,1.12,1.2830956,8.596,1419662464.0,38.836,-0.235,0.15383,1.897,68.38,0.1159,-0.031,2.153,77.49
RJF,1.103022,0.0138,13.651843,16.205128,22150045696.0,6.63,7.87,1.52,2.6809733,,,46.87,-0.05,0.0,,115.29,,0.065,,107.44
ZBRA,1.606641,,17.055838,21.423107,17956343808.0,15.684,19.7,1.76,6.378011,17.317,744124992.0,43.221,-0.092,0.20116,0.545,438.7,0.30618998,0.063,0.872,336.0
HPE,1.168582,0.0337,6.7293577,5.6860466,18974765056.0,2.58,2.18,1.41,0.9512385,6.414,-1279124992.0,66.043,0.0,0.16747999,0.486,17.13,0.19939,0.002,0.9,14.67
GRMN,1.013197,0.0299,16.070032,16.843634,18976411648.0,5.858,6.14,1.38,3.2412457,13.524,222049744.0,1.823,-0.189,0.25656998,1.424,,0.17723,-0.065,2.539,98.67
ATO,0.475521,0.0224,19.570457,22.513672,15296905216.0,5.12,5.89,2.69,1.9304651,17.461,-3364972032.0,88.598,0.032,0.36038,0.392,122.25,0.086330004,0.251,1.1,115.27
CAH,0.830566,0.0337,10.645162,17.036654,18598008832.0,3.874,6.2,3.13,13.455657,8.016,2282874880.0,,,0.01375,0.439,60.0,-1.73297,0.142,1.076,66.0
TER,1.528735,0.0044,15.488373,18.817102,16284099584.0,5.309,6.45,3.7,6.445993,13.513,636140608.0,6.741,-0.341,0.33363998,1.838,114.11,0.35079,-0.226,2.847,99.9
HBAN,1.215836,0.0467,10.208632,15.908071,20923721728.0,0.892,1.39,-4.3,1.1925372,,,,,0.0,,14.94,0.0926,0.56,,14.19
DRI,1.312047,0.038900003,15.411834,18.617584,16901900288.0,6.995,8.45,1.87,6.6163692,13.861,558099968.0,268.665,-0.194,0.15669,0.266,137.6,0.38102,0.142,0.638,130.23
IP,0.914857,0.0433,9.358974,9.6454525,16962119680.0,4.541,4.68,0.48,1.7625754,6.906,2462125056.0,65.863,0.263,0.14365,1.085,47.17,0.16302,0.13,1.619,43.8
NTAP,1.221796,0.027999999,13.375679,17.918795,16381887488.0,4.113,5.51,1.46,21.650997,10.687,764249984.0,350.835,-0.222,0.21589,1.358,87.21,1.23047,0.08,1.504,73.7
J,0.828863,0.0067000003,15.645985,40.240925,16648950784.0,3.196,8.22,1.55,2.7907128,15.076,1557720064.0,60.411,7.5,0.098000005,1.205,157.4,0.07563,0.081,1.246,128.61
PARA,1.663686,0.040599998,,,,,,-1.46,,7.908,16012749824.0,79.06,-0.552,0.12883,1.292,32.06,0.18280001,-0.011,1.579,25.8
DGX,1.021285,0.019299999,15.992038,8.451272,17244426240.0,16.633,8.79,-0.95,2.704986,7.769,1337374976.0,71.043,-0.605,0.24192,1.321,144.86,0.24917999,-0.038,1.538,140.57
SWK,1.365261,0.032899998,8.274411,8.896733,16026143744.0,11.049,11.88,0.76,1.5167179,12.274,-1931062528.0,127.656,-0.794,0.1266,0.159,136.71,0.0933,0.156,0.848,98.3
KEY,1.344827,0.042600002,9.463054,7.4834437,17885622272.0,2.567,2.03,9.17,1.1451565,,,,-0.251,0.0,,22.27,0.13884,-0.125,,19.21
TDY,1.095359,,22.23354,39.751484,18433003520.0,9.939,17.77,0.91,2.4852962,18.488,,50.124,1.426,0.22523001,1.004,513.29,0.089540005,0.209,1.666,395.09
BR,0.922945,0.0159,24.109375,36.46187,19786782720.0,4.655,7.04,2.08,11.254559,19.845,801400000.0,244.53,0.064,0.21000999,1.076,167.0,0.32337,0.104,1.27,169.73
VRSN,0.9851,,31.974068,36.364975,21913466880.0,5.425,6.17,3.86,,22.241,649020032.0,,0.174,0.69343,0.934,195.5,,0.068,0.995,197.28
CINF,0.69008,0.028399998,19.87621,6.616871,16558849024.0,15.53,5.17,1.32,1.3980763,19.424,,7.969,,0.11018,0.926,118.5,0.04837,-0.643,1.064,102.76
EPAM,1.75862,,38.998207,60.409096,24707624960.0,7.211,11.17,2.02,10.560754,26.645,369876864.0,8.939,-0.183,0.17108999,3.187,448.69,0.20024,0.501,3.318,435.61
EXPD,0.868454,0.0126,17.06329,15.957383,18268526592.0,6.758,6.32,-0.72,5.3454943,7.707,753017856.0,12.204,0.228,0.116560005,1.632,106.86,0.44007,0.458,1.871,107.84
AKAM,0.647083,,15.771044,25.729195,15221126144.0,3.641,5.94,1.62,3.3204553,15.05,775975360.0,75.439,-0.223,0.34262002,1.41,119.92,0.14267999,0.072,1.685,93.68
KMX,1.403575,,13.893442,14.010194,16462382080.0,7.259,7.32,1.09,3.2217188,21.571,-887839488.0,354.698,-0.407,0.046430003,0.313,112.18,0.19137,0.206,2.717,101.7
MRO,2.618135,0.0128999995,12.198979,,18614820864.0,-0.052,1.96,0.45,1.7474239,5.483,1898625024.0,36.547,13.833,0.61789,1.051,33.12,0.19540001,0.499,1.103,23.91
PWR,1.102171,0.0019,23.19376,37.083225,20127985664.0,3.809,6.09,1.48,4.243271,20.585,463720384.0,79.378,-0.081,0.08113,1.42,145.93,0.102010004,0.467,1.512,141.25
COO,0.925074,0.0002,20.131046,5.556795,16242385920.0,59.16,16.33,2.48,2.3346848,21.034,558425024.0,50.11,0.081,0.29149,0.565,407.58,0.14388,0.153,1.054,328.74
TRMB,1.541081,,23.756756,32.007282,17650882560.0,2.197,2.96,2.41,4.5470414,23.24,575974976.0,35.645,-0.023,0.21058,0.812,86.57,0.12752,0.121,1.255,70.32
DOV,1.383567,0.015,16.364508,21.032516,19651072000.0,6.489,8.34,1.55,5.0493913,13.659,519881120.0,75.875,0.099,0.19601999,0.797,153.23,0.28178,0.063,1.41,136.48
MOS,1.65432,0.0114,7.789473,11.72089,20283650048.0,4.672,7.03,0.41,1.9930845,5.222,642524992.0,39.145,6.78,0.31428,0.514,70.95,0.24666001,0.708,1.232,54.76
MPWR,1.057896,0.0064999997,60.723328,116.136765,23874789376.0,4.46,8.53,1.6,20.533178,59.595,156966368.0,0.435,0.737,0.26358,3.304,551.44,0.23527001,0.484,4.576,517.97
URI,1.83312,,12.977344,20.093142,24050868224.0,16.534,25.6,0.46,4.3863797,10.567,1383500032.0,172.908,0.716,0.29249,0.896,371.67,0.31418,0.212,1.07,332.22
MOH,0.799489,,19.431953,32.71568,19178559488.0,10.038,16.9,1.11,7.5643797,10.322,591000000.0,84.488,0.345,0.04461,1.401,343.29,0.28923,0.185,1.43,328.4
NDAQ,0.906343,0.0044,24.29297,27.149302,31198609408.0,6.872,7.68,2.81,4.9165945,18.368,,105.725,-0.104,0.32487,0.117,192.92,0.1816,0.101,0.94,186.57
FLT,1.256704,,14.830608,23.411108,18412593152.0,9.686,15.29,0.89,5.7991915,14.334,714622016.0,218.675,0.279,0.51089,0.827,285.0,0.28164,0.297,1.014,226.76
ESS,0.771392,0.0307,57.289627,42.61281,19054452736.0,6.87,5.11,6.96,3.2024984,23.618,859721984.0,100.652,-0.128,0.65699,0.156,303.4,0.06702,0.061,0.656,292.75
WAB,1.510429,0.0064,19.404518,39.227898,17654583296.0,2.409,4.87,2.58,1.7380269,14.557,816350016.0,45.034,0.356,0.18361,0.649,99.5,0.05921,0.053,1.358,94.5
POOL,0.914005,0.0112,22.514097,25.439571,15045427200.0,14.753,16.67,1.12,15.268297,15.118,-37800624.0,151.238,0.198,0.17784001,0.98,414.75,0.74039,0.15,2.773,375.31
FMC,0.858663,0.0191,14.248374,23.981178,13888107520.0,4.569,7.69,1.51,4.581452,12.809,420100000.0,127.681,0.173,0.26384002,0.847,134.41,0.27405,0.13,1.384,109.57
JBHT,1.083865,0.0087,23.580683,30.617458,20256149504.0,6.3,8.18,0.93,6.931757,10.935,-53214376.0,46.563,0.503,0.13389,1.016,199.48,0.30722,0.319,1.22,192.89
HRL,0.108556,0.0211,23.400946,29.885544,26916896768.0,1.66,2.12,2.98,3.859199,19.563,541086272.0,45.212,0.143,0.12055001,1.14,46.25,0.13667,0.188,2.278,49.61
NVR,0.98808,,11.060085,14.228911,15283386368.0,308.408,396.77,1.86,5.1092153,6.739,,33.53,0.5,0.21377,1.79,5086.25,0.50583,0.165,5.044,4388.31
OMC,0.835249,0.0401,11.26053,11.2429905,15342509056.0,6.42,6.41,1.0,4.6791134,7.825,453849984.0,172.672,0.05,0.16490999,0.785,77.39,0.35404998,-0.001,0.946,72.18
APA,4.068539,0.0135,,,,,,0.13,,3.855,2424875008.0,704.108,4.324,0.56569,0.882,53.29,4.69732,0.405,1.227,34.84
DPZ,0.621115,0.0112,26.259258,30.674004,14694288384.0,13.175,15.39,3.27,,24.117,334740640.0,,-0.078,0.18058,0.677,430.3,,0.032,1.47,404.13
EXPE,1.622818,,15.960869,,16687777792.0,-6.512,6.9,0.65,10.4043455,29.401,3281874944.0,226.297,,0.07322,0.592,177.32,0.13,0.805,0.894,110.13
CHRW,0.74074,0.0199,19.409916,20.798796,15264373760.0,5.646,6.05,2.32,7.848025,10.912,63397376.0,127.755,0.854,0.05592,1.452,110.86,0.55357,0.229,1.483,117.43
SJM,0.243933,0.0308,14.6910305,18.929796,14375436288.0,7.008,9.03,10.14,1.7348206,11.628,581075008.0,56.643,0.415,0.1992,0.356,131.0,0.07768,0.059,1.029,132.66
PKG,0.813111,0.0356,15.226152,18.094511,13494392832.0,7.851,9.33,1.2,3.7134044,7.67,,72.984,0.475,0.23405,,152.2,,0.19,,142.06
CBOE,0.589186,0.0156,19.616028,28.083174,12530552832.0,4.184,5.99,3.95,3.5831912,13.976,780612480.0,64.947,,0.28991,0.553,136.6,0.06306,0.231,1.208,117.5
TXT,1.595998,0.0011999999,18.884508,19.717648,14777291776.0,3.4,3.55,,2.4545088,10.839,1227374976.0,57.815,0.236,0.11879,1.129,,0.12448,-0.012,2.3,67.04
EMN,1.478501,0.0317,10.374476,26.618357,13333758976.0,3.726,9.56,1.09,2.178727,7.383,,93.124,,0.20986,,116.95,,0.049,,99.18
ABMD,1.321839,,58.069855,89.32453,13236587520.0,3.257,5.01,3.16,9.560002,44.384,200419504.0,0.665,0.056,0.27519,6.133,325.83,0.096370004,0.119,7.053,290.93
MAS,1.234142,0.0202,13.227053,30.054884,13366204416.0,1.822,4.14,1.21,,10.291,632000000.0,,,0.17587,0.76,64.81,,0.079,1.362,54.76
BRO,0.785866,0.0063,29.05677,32.474377,18792693760.0,2.049,2.29,2.06,4.575083,18.897,437696000.0,103.955,0.041,0.33262002,1.317,70.22,0.14912,0.155,1.838,66.54
LKQ,1.404853,0.0182,13.847117,16.079742,16104878080.0,3.436,3.99,0.41,2.7358258,10.92,896449984.0,65.411,0.475,0.12949,0.574,63.44,0.20931,-0.027,1.743,55.25
NLOK,0.951894,0.020399999,12.208121,16.076202,13991207936.0,1.496,1.97,1.71,,12.229,1356375040.0,,-0.393,0.47282,0.676,26.56,,0.065,0.737,24.05
AVY,0.932311,0.015800001,20.427544,22.315033,16456453120.0,8.907,9.73,2.78,9.150591,13.953,470512512.0,166.864,0.192,0.14975001,0.577,210.83,0.41724998,0.117,0.983,198.76
IEX,1.020008,0.0115,30.53067,38.02772,16272263168.0,5.628,7.01,2.18,5.9773774,19.56,349208992.0,46.761,0.351,0.28366,1.914,221.86,0.18766001,0.16,3.019,214.02
UDR,0.738186,0.031400003,182.18517,273.27777,15208858624.0,0.18,0.27,-4.7,4.968687,27.289,821930752.0,116.903,-0.722,0.58902,0.019,53.25,0.03757,0.115,0.115,49.19
LNT,0.466581,0.028099999,22.49635,24.325178,15432251392.0,2.534,2.74,3.87,2.5785398,15.523,-391249984.0,131.512,0.127,0.38973,0.36,63.67,0.11293,0.185,0.718,61.64
JKHY,0.583652,0.0094,40.172813,48.091583,15318342656.0,4.302,5.15,2.91,10.97385,29.534,266972624.0,20.995,0.224,0.27253,0.898,190.9,0.27181998,0.103,1.471,206.89
STX,1.069816,0.035,8.886854,12.136866,18360791040.0,6.795,9.28,1.55,30.806873,9.057,757750016.0,5179.816,-0.385,0.20667,0.604,,4.45676,-0.128,1.134,82.47
HWM,1.376756,0.0022,27.307142,57.83661,16332542976.0,0.661,1.4,0.87,4.642944,16.805,402624992.0,125.571,0.7,0.22684999,0.836,41.45,0.08681,0.095,2.217,38.23
LDOS,0.723286,0.0135,14.083215,18.1107,13775677440.0,5.42,6.97,2.41,3.3395708,13.729,695374976.0,142.714,-0.12,0.10520001,0.777,117.9,0.18302,0.054,0.998,98.16
INCY,0.658152,,16.840183,30.580433,16292921344.0,2.412,4.38,1.65,5.174325,21.566,489850368.0,1.141,-0.292,0.21892999,3.506,91.88,0.28313,0.213,3.71,73.76
IRM,0.865048,0.051,32.47879,24.392353,15516985344.0,2.197,1.65,4.42,15.935178,16.757,133383248.0,1525.623,-0.114,0.34164003,0.741,54.33,0.48319,0.153,0.898,53.59
AES,0.974031,0.028399998,14.757576,31.378866,16234485760.0,0.776,1.65,1.74,6.656643,10.407,-968249984.0,423.151,,0.30604,0.525,27.05,-0.14362,0.082,1.068,24.35
VTRS,1.290336,0.0495,2.9462366,,13254914048.0,-1.715,3.72,-2.2,0.6269664,5.888,2894725120.0,109.034,,0.31954,0.511,16.39,0.00801,-0.054,1.218,10.96
TFX,1.162622,0.0057,17.82795,27.76356,11892540416.0,9.144,14.24,1.69,3.251159,16.439,570474368.0,47.256,0.267,0.27659,1.221,315.18,0.13934,-0.013,2.269,253.87
LYV,1.312473,,117.597565,,21663963136.0,-4.165,0.82,1.87,,75.253,3018538496.0,1744.277,,0.04033,0.855,122.08,-2.18749,5.204,0.98,96.43
BXP,1.162196,0.043,29.416395,43.89433,14014893056.0,2.044,3.05,3.97,2.4515002,17.236,,173.214,1.0,0.58812,2.928,109.78,0.0994,0.087,3.223,89.72
VFC,1.457215,0.0448,12.680107,15.118589,18527526912.0,3.12,3.72,0.59,5.1484394,12.42,152268992.0,188.013,,0.15611,0.513,56.19,0.30372998,0.031,1.331,47.17
CTXS,0.062579,0.0146,19.514286,40.687054,12777871360.0,2.518,5.25,8.65,31.935785,22.16,903115776.0,420.555,0.8,0.21053,0.703,100.2,0.59143,0.058,0.823,102.45
CPT,0.788846,0.0251,76.25532,120.47058,14650961920.0,1.19,1.88,2.25,3.8470416,26.939,,72.18,14.174,0.54456,0.11,162.58,0.18541001,0.293,0.119,143.36
UAL,1.31673,,20.460316,,12521616384.0,-10.198,1.89,-0.28,2.3056283,20.189,2220499968.0,994.45,,0.0436,0.951,50.63,-0.27537,1.214,1.04,38.67
WRB,0.727969,0.0064,12.522073,11.723269,11523993600.0,5.565,5.21,1.64,1.7333084,8.961,,44.413,-0.244,0.17509001,,76.73,,0.094,,65.24
CE,1.279267,0.0231,7.369689,4.687803,12652987392.0,24.792,15.77,-7.71,3.2377768,6.478,724625024.0,78.373,-0.167,0.2644,1.008,153.18,0.4255,0.131,1.718,116.22
XYL,1.068114,0.012999999,33.713333,39.678303,18238068736.0,2.549,3.0,1.76,5.895657,22.605,183750000.0,78.166,-0.062,0.15256,1.108,85.54,0.13719,0.013,1.624,101.14
TYL,0.827586,,49.965645,106.462746,16686368768.0,3.825,8.15,5.26,7.577314,51.605,392649632.0,53.267,0.541,0.18771,1.064,476.29,0.07835,0.16,1.148,407.22
NI,0.375053,0.0309,20.97931,27.78082,11946085376.0,1.095,1.45,2.83,2.5012333,13.292,-657437504.0,130.464,0.306,0.34432998,0.453,31.92,0.106750004,0.212,0.721,30.42
SBNY,1.796083,0.0121,11.706837,14.480435,12251382784.0,13.954,17.26,1.32,1.5762786,,,,0.473,0.0,,267.06,0.16014,0.445,,202.06
FDS,0.777777,0.0083,31.96679,41.134853,16371857408.0,10.53,13.55,1.85,14.888461,30.099,508569504.0,186.393,-0.263,0.34267,1.92,421.77,0.34237,0.223,2.116,433.15
PEAK,0.776074,0.0434,75.10811,24.270744,14980811776.0,1.145,0.37,22.04,2.2458382,21.53,2211424000.0,92.818,-0.515,0.52674997,0.091,32.82,0.04642,0.095,0.401,27.79
PAYC,1.476372,,67.12256,128.10168,22683750400.0,2.95,5.63,2.3,26.554705,58.634,238015008.0,10.143,0.423,0.2839,0.092,371.89,0.25452,0.299,1.078,377.9
L,0.86292,0.0043,19.831034,9.349699,14589366272.0,6.151,2.9,,0.8191141,6.126,2702125056.0,52.422,0.402,0.21791,0.474,,0.09825,-0.061,0.474,57.51
LVS,1.252873,,40.52688,,28794781696.0,-1.499,0.93,-0.17,13.700473,230.19,2112625024.0,364.863,,0.04256,3.267,46.85,-0.503,-0.109,3.347,37.69
KIM,1.392081,0.0398,34.104477,11.317484,14085381120.0,2.019,0.67,-1.3,1.4206666,20.036,676883776.0,75.358,,0.63931,104.57,23.93,0.0883,0.478,105.114,22.85
SYF,1.525755,0.0275,6.3129373,5.108219,19761522688.0,7.069,5.72,-0.63,1.4967875,,,,-0.245,0.0,,42.05,0.26749,-0.17,,36.11
TECH,1.217965,0.0033000002,41.46512,86.33387,14713338880.0,4.337,9.03,3.12,8.969887,43.123,233467744.0,19.218,0.321,0.32773998,2.597,500.99,0.13236,0.192,3.555,374.43
WDC,1.491698,,5.463252,10.263598,15288224768.0,4.78,8.98,0.3,1.3429691,5.39,1499624960.0,62.658,-0.873,0.19708,1.105,,0.16605,0.059,2.087,49.06
BBY,1.487441,0.045700002,8.712893,7.7753067,19345913856.0,10.343,9.23,1.69,4.5831194,5.687,245375008.0,142.465,-0.358,0.07148,0.167,80.1,0.63537997,-0.085,0.963,80.42
GNRC,1.195402,,22.803938,32.351513,16804022272.0,8.233,11.68,1.63,9.428319,22.379,127796248.0,51.9,-0.326,0.20033,0.651,373.84,0.26387,0.407,1.696,266.35
OGN,,0.0345,5.4450173,5.303766,8034999808.0,5.975,5.82,-1.21,,7.831,918374976.0,,-0.136,0.32993,0.886,38.57,0.75114995,0.041,1.613,31.69
FBHS,1.541507,0.0161,10.944532,12.7464,9373790208.0,5.418,6.31,1.26,3.0687878,9.211,95875000.0,118.808,-0.058,0.16547,0.943,84.5,0.25027,0.09,2.125,69.06
PTC,1.130693,,24.515812,30.781637,14622021632.0,4.03,5.06,2.12,7.12972,29.867,,75.095,0.395,0.27652,,143.36,0.25717,0.062,,124.05
